Country Name,Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Adults (ages 15-49) newly infected with HIV,Bank liquid reserves to bank assets ratio (%),"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Number of deaths ages 5-9 years,Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,Number of under-five deaths
Guatemala,100,37.3746234101731,1200,22.0015577374566,4.829,72.602,0.229518594848037,585,758,1788,2945,6708,350,3771,8055
Guinea,51.1,,3700,22.9763423176281,9.125,60.74,2.11868341116624,4406,2070,3835,4858,29567,2400,14778,45350
Guinea-Bissau,40.5,,710,6.25989287206696,7.05,64.085,1.88672303963666,371,290,474,523,2753,330,2111,4404
Guyana,98.9,26.6700008697921,520,25.307634193758,7.32,70.18,0.180420455984603,22,33,73,110,401,13,262,434
Haiti,51.3,,4800,95.4868995911976,7.817,64.936,0.846500703616184,1317,961,1492,2653,10367,850,6027,14233
Honduras,95.6,45.0153612347655,500,20.7172325854939,4.478,72.884,0.120452335395474,375,640,834,1228,3091,110,2063,3605
"Hong Kong SAR, China",100,1.20308771491931,,6.32667542380105,7.3,85.2473170731707,,,,,,,,,
Hungary,100,2.65334010124206,,33.3512907746718,13.4,76.7707317073171,0.0138255906755582,41,47,125,211,276,10,180,336
Iceland,100,1.58624994754791,100,6.06411799311504,6.6,82.6073170731707,0.00445813888761068,0,2,5,6,8,0,6,11
India,99.5,14.3745796393027,,,6.611,72.003,0.155073471105069,36162,53106,80744,120323,567211,19000,401499,643970
Indonesia,99.4,5.09001358577063,,22.6626441433738,7.531,71.146,0.265197467641627,12020,9344,19971,21581,76071,6300,47186,92839
"Iran, Islamic Rep.",100,,,,4.672,77.654,0.0239274155277145,2335,2313,6054,6775,12578,190,8689,13987
Iraq,100,,550,89.9867069876009,4.132,72.324,0.215228426461542,2592,2721,3486,3562,23925,770,14901,25947
Ireland,100,,200,,6.6,82.8609756097561,0.00498030026150778,17,26,79,103,179,2,134,205
Isle of Man,100,,,,10.476,80.999,,,,,,,,,
Israel,100,3.67193007469177,,27.2175865016628,5.2,83.1951219512195,0.00629348476247194,67,72,175,243,468,4,300,588
Italy,100,1.93845999240875,3500,,11.2,83.7,0.00612494821390756,161,237,567,835,917,25,625,1089
Jamaica,97.7,20.6772898905222,1000,18.3215938418114,8.076,71.479,0.166743619411278,56,74,217,353,609,43,480,643
Japan,100,0.0393199995160103,,37.2282842764104,13,84.0412195121951,0.00284505022794214,339,446,1367,2286,1359,23,604,1858
Jordan,100,4.58747040554293,100,21.8755061350687,3.049,77.814,0.0791554919893869,87,79,661,695,2878,73,1782,3108
Kazakhstan,100,4.00829048423572,2300,19.7102852602085,6.709,74.402,0.0252845579250951,494,514,848,916,3130,39,1758,4019
Kenya,76.2,,15000,6.55609945316432,7.211,63.646,0.479347697308969,3540,2771,6993,9837,51498,2200,32251,59036
Kiribati,95.9,7.58817242607766,,,7.046,66.473,0.248152641018556,18,13,18,20,135,3,77,188
"Korea, Dem. People's Rep.",57.5,,,,9.684,73.642,0.107133245788802,707,603,1345,1934,4989,230,3295,6196
"Korea, Rep.",100,1.83823001384735,,3.9215063642569,6,83.4292682926829,0.0022987780794353,155,208,538,1082,567,9,278,694
Kosovo,,,,9.09780991095255,5.871,78.033,,23,29,67,104,173,,140,190
Kuwait,100,,,10.460493661521,1.53211676064858,83.1878048780488,0.0106530426398927,52,59,89,102,369,4,238,428
Kyrgyz Republic,100,8.06022554911019,810,28.2540850266399,4.4,72.2487804878049,0.113523182437333,202,232,328,354,2242,63,1633,2572
Lao PDR,96.5,35.4031273189513,1200,,6.221,68.964,0.28067674786468,381,577,636,997,5715,180,3265,6350
Latvia,100,2.15953993797302,200,,14.9,75.6780487804878,0.0201712424391145,11,10,38,54,38,3,21,46
Lebanon,100,32.7329752073586,,,5.962,77.817,0.0303637337791056,198,230,354,374,1494,14,1038,1723
Lesotho,57.3,32.0291988224998,3100,4.3723961038195,10.648,57.375,1.27890163468146,226,220,169,286,3060,270,1601,3260
Liberia,32.5,,,,8.071,62.163,2.47426034560362,1235,1027,1446,1543,8797,1100,5038,12129
Libya,73.2,,500,218.68017791604,6.654,69.339,0.11678144772784,2130,1202,957,799,1996,74,711,3974
Liechtenstein,100,,,,6.8,84.8414634146342,,,,,,,,,
